,id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message,cost
182,20,1,1,1,1,2,50
183,20,1,1,2,2,2,70
184,20,1,1,2,2,2,90
185,20,1,1,2,2,2,110
186,20,1,1,2,2,2,130
187,20,2,2,2,2,2,150
188,20,2,2,2,2,2,170
189,20,2,2,2,2,2,190
190,21,1,1,2,2,2,10
191,21,1,1,2,2,2,30
192,21,1,1,2,2,2,50
193,21,2,2,2,2,2,70
194,21,2,2,2,2,2,90
195,21,2,2,2,2,2,110
196,21,2,2,2,2,2,130
197,21,2,2,2,2,2,150
198,21,2,2,2,2,2,170
199,21,2,2,2,2,2,190
