id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message,cost
13,1,1,2,1,2,110
13,1,1,2,1,2,130
13,2,2,2,1,2,150
13,2,2,2,2,2,170
13,2,2,2,2,2,190
14,2,2,2,2,2,10
14,2,2,2,1,2,30
14,2,2,2,2,2,50
14,2,2,2,2,2,70
14,2,2,2,2,2,90
14,2,2,2,2,2,110
14,2,2,2,2,2,130
14,2,2,2,2,2,150
14,2,2,2,2,2,170
14,2,2,2,2,2,190
15,1,1,1,1,1,10
15,1,1,1,1,1,30
15,1,1,1,1,2,50
15,1,1,2,1,2,70
15,1,1,2,1,1,90
15,1,1,2,1,1,110
15,1,1,2,1,1,130
15,2,2,2,2,2,150
15,2,2,2,2,2,170
15,2,2,2,2,2,190
16,1,1,1,1,2,10
16,1,1,1,1,1,30
16,1,1,1,1,1,50
16,1,1,1,2,2,70
16,1,2,1,2,2,90
16,1,1,2,1,2,110
16,1,1,2,2,2,130
16,2,2,2,2,2,150
16,2,2,2,2,2,170
16,2,2,2,2,2,190
17,1,1,1,1,1,10
17,1,1,1,1,2,30
17,1,1,1,1,2,50
17,1,1,1,1,2,70
17,1,1,1,1,2,90
17,1,1,2,2,2,110
17,1,1,2,2,2,130
17,2,2,2,2,2,150
17,2,2,2,2,2,170
17,2,2,2,2,2,190
18,2,2,2,1,2,10
18,2,2,2,1,2,30
18,2,2,2,1,2,50
18,2,2,2,2,2,70
18,2,2,2,2,2,90
18,2,2,2,2,2,110
18,2,2,2,2,2,130
18,2,2,2,2,2,150
18,2,2,2,2,2,170
18,2,2,2,2,2,190
20,1,1,1,1,2,10
20,1,1,1,1,2,30
20,1,1,1,1,2,50
20,1,1,2,2,2,70
20,1,1,2,2,2,90
20,1,1,2,2,2,110
20,1,1,2,2,2,130
20,2,2,2,2,2,150
20,2,2,2,2,2,170
20,2,2,2,2,2,190
21,1,1,2,2,2,10
21,1,1,2,2,2,30
21,1,1,2,2,2,50
21,2,2,2,2,2,70
21,2,2,2,2,2,90
21,2,2,2,2,2,110
21,2,2,2,2,2,130
21,2,2,2,2,2,150
21,2,2,2,2,2,170
21,2,2,2,2,2,190
