,id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message
80,8,1,1,1,1,1
81,8,1,1,1,1,1
82,8,1,1,1,1,1
83,8,1,1,1,1,1
84,8,1,1,2,1,1
85,8,1,1,2,1,2
86,8,1,1,2,1,2
87,8,2,1,2,2,2
88,8,2,2,2,2,2
89,8,2,2,2,2,2
90,9,1,1,1,2,2
91,9,1,1,1,1,2
92,9,1,1,2,1,2
93,9,1,1,2,1,2
94,9,1,1,2,1,2
95,9,1,1,2,1,2
96,9,1,1,2,1,2
97,9,2,2,2,2,2
98,9,2,2,2,2,2
99,9,2,2,2,2,2
100,10,1,1,1,1,2
101,10,1,1,1,1,2
102,10,1,1,1,1,2
103,10,1,1,2,1,2
104,10,1,1,2,1,2
105,10,1,1,2,1,2
106,10,2,2,2,1,2
107,10,2,2,2,2,2
108,10,2,2,2,2,2
109,10,2,2,2,2,2
110,11,1,2,2,1,2
111,11,1,1,2,1,1
112,11,1,1,2,1,1
113,11,1,1,2,2,2
114,11,1,1,2,1,1
115,11,2,2,2,1,1
116,11,2,2,2,1,2
117,11,2,2,2,2,2
118,11,2,2,2,2,2
119,11,2,2,2,2,2
120,12,1,2,1,1,2
121,12,1,1,1,1,2
122,12,1,1,2,2,2
123,12,1,1,2,1,2
124,12,1,1,2,1,2
125,12,1,1,2,2,2
126,12,1,1,2,1,2
127,12,2,2,2,2,2
128,12,2,2,2,2,2
129,12,1,2,2,2,2
130,13,1,1,1,1,1
131,13,1,1,1,1,1
132,13,1,1,1,1,1
133,13,1,1,2,1,2
134,13,1,1,2,1,1
135,13,1,1,2,1,2
136,13,1,1,2,1,2
137,13,2,2,2,1,2
138,13,2,2,2,2,2
139,13,2,2,2,2,2
140,14,2,2,2,2,2
141,14,2,2,2,1,2
142,14,2,2,2,2,2
143,14,2,2,2,2,2
144,14,2,2,2,2,2
145,14,2,2,2,2,2
146,14,2,2,2,2,2
147,14,2,2,2,2,2
148,14,2,2,2,2,2
149,14,2,2,2,2,2
150,15,1,1,1,1,1
151,15,1,1,1,1,1
152,15,1,1,1,1,2
153,15,1,1,2,1,2
154,15,1,1,2,1,1
155,15,1,1,2,1,1
156,15,1,1,2,1,1
157,15,2,2,2,2,2
158,15,2,2,2,2,2
159,15,2,2,2,2,2
160,16,1,1,1,1,2
161,16,1,1,1,1,1
162,16,1,1,1,1,1
163,16,1,1,1,2,2
164,16,1,2,1,2,2
165,16,1,1,2,1,2
166,16,1,1,2,2,2
167,16,2,2,2,2,2
168,16,2,2,2,2,2
169,16,2,2,2,2,2
170,17,1,1,1,1,1
171,17,1,1,1,1,2
172,17,1,1,1,1,2
173,17,1,1,1,1,2
174,17,1,1,1,1,2
175,17,1,1,2,2,2
176,17,1,1,2,2,2
177,17,2,2,2,2,2
178,17,2,2,2,2,2
179,17,2,2,2,2,2
180,18,2,2,2,1,2
181,18,2,2,2,1,2
182,18,2,2,2,1,2
183,18,2,2,2,2,2
184,18,2,2,2,2,2
185,18,2,2,2,2,2
186,18,2,2,2,2,2
187,18,2,2,2,2,2
188,18,2,2,2,2,2
189,18,2,2,2,2,2
190,19,2,1,2,2,1
191,19,1,1,2,2,1
192,19,1,1,2,2,1
193,19,1,2,2,1,1
194,19,1,1,2,1,1
195,19,2,2,2,1,2
196,19,2,2,2,1,2
197,19,2,2,2,1,2
198,19,2,2,2,2,2
199,19,2,2,2,2,2
200,20,1,1,1,1,2
201,20,1,1,1,1,2
202,20,1,1,1,1,2
203,20,1,1,2,2,2
204,20,1,1,2,2,2
205,20,1,1,2,2,2
206,20,1,1,2,2,2
207,20,2,2,2,2,2
208,20,2,2,2,2,2
209,20,2,2,2,2,2
210,21,1,1,2,2,2
211,21,1,1,2,2,2
212,21,1,1,2,2,2
213,21,2,2,2,2,2
214,21,2,2,2,2,2
215,21,2,2,2,2,2
216,21,2,2,2,2,2
217,21,2,2,2,2,2
218,21,2,2,2,2,2
219,21,2,2,2,2,2
